,Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
25,2000-02-08,4.071429,4.147321,3.973214,4.102679,3.551679,102160800,3.7425223499999993,4.258181819939717,3.2268628800602817,0.2691129263918979,0.028204582986626203,108.1902282087138,3.824901870379993,3.2004710917970054,3.8195685000000004,3.8504466000000006,75.46298504800443,10.722907401365116,3.2004710917970054
26,2000-02-09,4.075893,4.183036,4.015625,4.022321,3.4821120000000003,74841200,3.7780134,4.267441477480809,3.288585322519191,0.2618485030781909,0.040999664379129275,99.35565510901395,3.8512244209959943,5.999984715294683,3.8385416666666665,3.9491072000000003,80.11041587256005,12.344132163356896,5.999984715294683
27,2000-02-10,4.03125,4.066964,3.928571,4.053571,3.5091660000000005,75745600,3.825,4.222076506694618,3.4279234933053817,0.2530302528583201,0.05304994564813725,74.46635635995229,3.878203964863195,1.1135642462113853,3.842261833333333,4.021875,83.97781781999804,14.863993326188746,1.1135642462113853
28,2000-02-11,4.058036,4.075893,3.866071,3.883929,3.362307,53062800,3.8464285999999994,4.2058730998819165,3.4869841001180824,0.2499439490827258,0.048353796264617444,39.74188114641525,3.8789673028814358,-1.3045871335827706,3.837983583333333,4.0272322,62.98345618264532,5.263173585507035,-1.3045871335827706
29,2000-02-14,3.904018,4.138393,3.879464,4.136161,3.580663,91884800,3.8738839499999997,4.233771570817654,3.513996329182345,0.25058573843395965,0.06424450775884472,79.74881283228817,3.9132597958305775,5.284109667357434,3.85528275,4.0397322,94.19889707884303,7.233799732081496,5.284109667357434
30,2000-02-15,4.116071,4.283482,4.113839,4.25,3.679214,121436000,3.90078125,4.287666388896226,3.513896111103774,0.24480411426010543,0.08504353804339448,138.3357245524459,3.9581584897198336,17.097180189691922,3.9069940833333336,4.0691964,96.31451145977573,4.328759805982863,17.097180189691922
31,2000-02-16,4.205357,4.21875,4.004464,4.075893,3.5284910000000003,94561600,3.9142856999999998,4.305794728521236,3.5227766714787636,0.24485639181295507,0.08648103996954104,80.41443886288508,3.973856424423856,10.000008096385853,3.9378720833333336,4.0799108,77.14990500637323,-0.6528904649864252,10.000008096385853
32,2000-02-17,4.113839,4.125,4.040179,4.102679,3.551679,72374400,3.9167410999999994,4.31230845405587,3.521173745944129,0.23342529239774398,0.08875852392912087,78.41426880628433,3.991032767834009,14.588545220490595,3.981398916666667,4.089732400000001,80.09833986804362,1.9978017666914296,14.588545220490595
33,2000-02-18,4.09375,4.120536,3.959821,3.973214,3.439602,58360400,3.916629499999999,4.312131796335434,3.521127203664564,0.22823170008361945,0.07920369200082433,46.429451936634074,3.9886569321228076,12.586957618238268,4.01841525,4.1075894,62.12530334620774,-1.9823755399868364,12.586957618238268
34,2000-02-22,3.933036,4.176339,3.810268,4.064732,3.518828,105574000,3.9301339499999997,4.326496554936682,3.5337713450633172,0.23807736436336088,0.07811568758975573,42.5751876352937,3.9988002745064333,10.163339776439061,4.04966525,4.0933036000000005,73.29698875482791,4.655157187476909,10.163339776439061
35,2000-02-23,4.044085,4.25,3.964286,4.151786,3.59419,118274800,3.9372768000000002,4.344073343299772,3.530480256700229,0.2414799811945494,0.08331753384786778,80.74031946721307,4.019198371238909,7.63889230967066,4.074218833333334,4.073660800000001,81.26990222222226,0.37776575911817745,7.63889230967066
36,2000-02-24,4.189732,4.254464,3.991071,4.114398,3.5618230000000004,94108000,3.9462333000000003,4.360281762035597,3.532184837964404,0.24304519682351014,0.08346104833672596,74.54125937832623,4.031891655073721,1.000009573697959,4.077613583333334,4.081361800000001,70.97713825698739,-3.1906352941176364,1.000009573697959
37,2000-02-25,4.100446,4.178571,3.933036,3.941964,3.412548,62286000,3.9469029499999997,4.360878298548428,3.5329276014515716,0.2432230399075451,0.06886694660193715,30.71312264891799,4.019901301063892,-3.9173184156011267,4.0642206666666665,4.0492188,31.69640000000002,-3.285881155368891,-3.9173184156011267
38,2000-02-28,3.933036,4.107143,3.870536,4.044643,3.501437,82082000,3.9676618999999995,4.356774967455672,3.578548832544327,0.24275046562843472,0.06483893018178088,22.65207807336006,4.023200194255374,0.5549532222813632,4.066080833333333,4.0635046,49.5283317906908,-1.4145878826981202,0.5549532222813632
39,2000-02-29,4.055804,4.1875,4.020089,4.09375,3.5439480000000003,92240400,3.987081549999999,4.360336633983852,3.6138264660161465,0.2373690752264037,0.06486153919525606,61.75363737030925,4.0326068350213236,0.9912001047964916,4.0694290833333335,4.0693082,59.90566635813813,3.0337152743345808,0.9912001047964916
40,2000-03-01,4.234375,4.716518,4.232143,4.654018,4.028972,269250800,4.040764599999998,4.469329358284861,3.6121998417151353,0.26489756985308915,0.10883383355971432,277.4232652347218,4.11546165701848,19.82757666270417,4.133603166666667,4.1697546,93.10344827586206,14.497536368941407,19.82757666270417
41,2000-03-02,4.535714,4.569196,4.310268,4.357143,3.7719669999999996,77814800,4.082170849999999,4.4622392435326805,3.7021024564673173,0.27052988629215424,0.1183624535482819,198.89968157375418,4.147685836082683,5.342683710812982,4.152018333333333,4.2183036000000005,60.34482758620688,4.946232777893642,5.342683710812982
42,2000-03-03,4.459821,4.5797989999999995,4.285714,4.571429,3.957474,80841600,4.126255699999998,4.518366838626337,3.7341445613736592,0.2722123944141432,0.14157307657581164,201.0742626383294,4.204184924604992,7.563035294117651,4.1788040833333335,4.344196600000001,83.99017931034487,11.108089202843276,7.563035294117651
43,2000-03-06,4.5,4.611607,4.464286,4.488839,3.8859760000000003,52640000,4.157840499999998,4.559797895128144,3.7558831048718524,0.26329158052741863,0.1515562931748642,174.551076918837,4.242138801324327,10.131423960344392,4.21321625,4.433035800000001,74.87679999999996,13.873160688428396,10.131423960344392
44,2000-03-07,4.515625,4.551339,4.325893,4.388393,3.7990190000000004,68252800,4.1735770999999975,4.585636365867377,3.761517834132617,0.2605883247754602,0.14963797805247037,107.36732298646054,4.26163936114775,6.964083712130527,4.23702575,4.4919644000000005,63.79310344827584,8.498895947058863,6.964083712130527
45,2000-03-08,4.388393,4.426339,4.234375,4.357143,3.7719669999999996,67807600,4.186300299999997,4.6044860232451175,3.7681145767548774,0.25568658729149873,0.1439368710129605,63.826287624640884,4.274373179661383,9.662932829694041,4.269019833333334,4.4325894,60.34482758620688,6.434027480916024,9.662932829694041
46,2000-03-09,4.316964,4.464286,4.223214,4.366071,3.779697,69179600,4.203487799999998,4.62155874762856,3.7854168523714353,0.2546426881992489,0.13854209061433576,60.834818065309065,4.286599555706532,7.413502292402047,4.294131416666667,4.434375,61.329986206896535,-6.187062447975061,7.413502292402047
47,2000-03-10,4.345982,4.569196,4.321429,4.491071,3.887907,62151600,4.225362799999997,4.655380316795586,3.7953452832044086,0.25415156761358826,0.14270809354288527,90.99022184859933,4.313862414945661,8.172025244075666,4.322405166666667,4.418303399999999,75.12308965517241,3.0737572762702543,8.172025244075666
48,2000-03-13,4.361607,4.517857,4.267857,4.332589,3.750711,75989200,4.247795799999998,4.650146630037472,3.8454449699625233,0.25385502706976054,0.13170331414453695,51.37007298677677,4.316359292952907,5.303108741546129,4.34058775,4.387053399999999,54.61735592483052,-5.2246245101914655,5.303108741546129
