,date,open,close,low,high,volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
25,2/8/00,4.0714,4.1027,3.9755,4.1451,0,3.742555,4.258224186,3.226885814,0.258808607,0.028208758,108.7820443,3.82494227,3.199597535,3.819608333,3.8505,75.94040575,10.72218924,3.199597535
26,2/9/00,4.0804,4.0224,4.0179,4.1786,0,3.77805,4.267486731,3.288613269,0.251800849,0.041006546,99.55128755,3.851269967,6.000474346,3.838583333,3.94916,80.3423106,12.34498939,6.000474346
27,2/10/00,4.0224,4.0536,3.913,4.067,0,3.82504,4.222099217,3.427980783,0.244815074,0.053054881,72.67715768,3.878247305,1.115019083,3.842308333,4.02192,84.2688145,14.86214616,1.115019083
28,2/11/00,4.0581,3.884,3.8706,4.0759,0,3.84647,4.2058967,3.4870433,0.241992569,0.048360501,40.60513839,3.879014331,-1.303585495,3.838033333,4.02728,62.92474201,5.263157895,-1.303585495
29,2/14/00,3.9018,4.1362,3.884,4.1384,0,3.873925,4.233795226,3.514054774,0.242878814,0.06424997,80.64975016,3.913305754,5.284325205,3.855333333,4.03978,94.66398188,7.233226174,5.284325205
30,2/15/00,4.1284,4.25,4.1161,4.2824,0,3.90082,4.28768203,3.51395797,0.237408899,0.085044853,138.6987072,3.95819832,17.09601874,3.907041667,4.06924,96.3935886,4.327761004,17.09601874
31,2/16/00,4.2076,4.0692,4.0089,4.212,0,3.91399,4.304928665,3.523051335,0.237672549,0.085945176,79.48214126,3.972998544,9.818103309,3.937358333,4.0786,76.26892253,-0.816535452,9.818103309
32,2/17/00,4.1161,4.1027,4.0447,4.1239,0,3.916445,4.311455169,3.521434831,0.226353081,0.08834349,79.10826366,3.990292071,14.58775556,3.980883333,4.08842,79.99777382,1.996320605,14.58775556
33,2/18/00,4.0893,3.9733,3.9666,4.1206,0,3.916335,4.311280547,3.521389453,0.221185004,0.07889324,47.48184689,3.988026462,12.5867785,4.0179,4.10628,61.90534878,-1.9809552,12.5867785
34,2/22/00,3.9297,4.0648,3.8148,4.1674,0,3.92984,4.325695784,3.533984216,0.230571789,0.077889275,42.03537012,3.998262934,10.16315247,4.04915,4.092,73.1821543,4.654994851,10.16315247
35,2/23/00,4.0491,4.1518,3.971,4.25,0,3.936985,4.343310915,3.530659085,0.234030947,0.083155237,81.77592259,4.018734542,7.637664627,4.0737,4.07236,81.15712018,0.377157778,7.637664627
36,2/24/00,4.1909,4.1139,3.9978,4.25,0,3.945915,4.359486016,3.532343984,0.235328737,0.083309991,74.83729985,4.03142327,0.986817881,4.07705,4.0813,70.68545581,-3.202352941,0.986817881
37,2/25/00,4.0826,3.942,3.9375,4.1764,0,3.946585,4.360085052,3.533084948,0.235583827,0.068769014,30.99153649,4.019500167,-3.916932752,4.063658333,4.04916,31.76989377,-3.125921557,-3.916932752
38,2/28/00,3.9286,4.0447,3.8762,4.1049,0,3.967345,4.356028823,3.578661177,0.235092125,0.064785412,23.0927974,4.022860145,0.554395386,4.065516667,4.06344,49.16595381,-1.413703171,0.554395386
39,2/29/00,4.067,4.0938,4.0224,4.1831,0,3.986765,4.359647964,3.613882036,0.229778402,0.064842869,61.47056512,4.032318792,0.991711072,4.068866667,4.06924,59.66638152,3.032743563,0.991711072
40,3/1/00,4.2366,4.6541,4.2344,4.7099,0,4.04045,4.468882125,3.612017875,0.257372802,0.108845232,276.8899393,4.115222953,19.82749743,4.133041667,4.1697,93.76605966,14.49763826,19.82749743
41,3/2/00,4.5358,4.3572,4.3103,4.5581,0,4.081855,4.461943066,3.701766934,0.263546173,0.118395286,197.6124965,4.14748656,5.343068517,4.151458333,4.21836,60.59658139,4.947251794,5.343068517
42,3/3/00,4.4554,4.5704,4.288,4.5737,0,4.125885,4.517938814,3.733831186,0.265128589,0.141535695,200.6523001,4.203875018,7.538823529,4.178158333,4.34404,84.41514915,11.09652641,7.538823529
43,3/6/00,4.4978,4.4889,4.4666,4.6072,0,4.15747,4.559506561,3.755433439,0.25623369,0.151551278,175.0395973,4.241878349,10.31406665,4.213133333,4.43288,75.31002123,13.87366819,10.31406665
44,3/7/00,4.5179,4.3884,4.3259,4.5447,0,4.173205,4.585400689,3.761009311,0.253559855,0.149654071,107.0667551,4.261414569,6.963706827,4.236941667,4.4918,64.08222545,8.497539991,6.963706827
45,3/8/00,4.3929,4.3572,4.2366,4.4197,0,4.18593,4.604300917,3.767559083,0.248527008,0.143973307,63.72110268,4.27418596,9.661993809,4.268933333,4.43242,60.59658139,6.434119889,9.661993809
46,3/9/00,4.317,4.3661,4.2277,4.462,0,4.203115,4.621441142,3.784788858,0.247510793,0.138591816,61.52076236,4.286441165,7.412418815,4.294041667,4.4342,61.5908837,-6.18809222,7.412418815
47,3/10/00,4.337,4.4911,4.3214,4.5625,0,4.22499,4.655337329,3.794642671,0.247052879,0.142767664,90.76298234,4.31372901,8.172358977,4.322316667,4.41834,75.55580382,3.073074451,8.172358977
48,3/13/00,4.3594,4.3326,4.2701,4.5123,0,4.24742,4.650219641,3.844620359,0.246706245,0.131768483,51.40138409,4.316245142,5.316123387,4.340541667,4.38708,54.74391268,-5.203045685,5.316123387
49,3/14/00,4.3282,4.0804,4.0737,4.4375,0,4.24463,4.651227556,3.838032444,0.255070085,0.101530738,-18.71658815,4.284799123,3.510908168,4.352075,4.32548,24.49322298,-9.100224999,3.510908168
50,3/15/00,4.125,4.1518,4.0759,4.2891,0,4.23972,4.64830641,3.83113359,0.252079364,0.082378878,-27.4183958,4.267065907,2.64790961,4.361,4.2844,33.05745472,-5.391486647,2.64790961
51,3/16/00,4.1898,4.3416,4.0916,4.3572,0,4.25334,4.65640492,3.85027508,0.253045124,0.081575809,5.277800396,4.277003786,6.053055841,4.38165,4.2795,55.82343769,-0.358028091,6.053055841
52,3/17/00,4.2813,4.4643,4.2768,4.4643,0,4.27142,4.678256732,3.864583268,0.24836333,0.08980502,55.851259,4.301976614,-4.078124664,4.365833333,4.27414,64.27636364,2.249146836,-4.078124664
53,3/20/00,4.4018,4.3929,4.3706,4.5067,0,4.2924,4.678316903,3.906483097,0.24034452,0.089533261,58.78151561,4.314099732,0.819333517,4.368808333,4.2862,50.1729016,-2.186546726,0.819333517
54,3/21/00,4.3661,4.8192,4.3449,4.8817,0,4.33012,4.764152209,3.896087791,0.261519912,0.122306861,155.7038367,4.381446435,5.443724838,4.389541667,4.43396,92.26485149,11.23113142,5.443724838
55,3/22/00,4.7433,5.1495,4.7188,5.1518,0,4.380005,4.93349124,3.82651876,0.273768489,0.17293909,251.7622654,4.483853577,14.71630021,4.444591667,4.6335,99.78666172,26.20086266,14.71630021
56,3/23/00,5.0714,5.0469,5.0424,5.3661,0,4.426655,5.036925057,3.816384943,0.277335026,0.202452784,253.6620812,4.558926433,15.00546896,4.499466667,4.77456,75.30176416,21.55932367,15.00546896
57,3/24/00,5.0882,4.9532,4.8393,5.1373,0,4.477215,5.086046767,3.868383233,0.278811096,0.21579425,162.526908,4.611496242,13.67850913,4.549133333,4.87234,68.05168678,14.08697254,13.67850913
58,3/27/00,4.8929,4.9844,4.8929,5.1563,0,4.5242,5.137289912,3.911110088,0.277710303,0.226276662,145.0165942,4.661216743,14.16137972,4.600658333,4.99064,70.46580006,11.65020272,14.16137972
59,3/28/00,4.8974,4.9688,4.8974,5.0714,0,4.56795,5.176807939,3.959092061,0.270302424,0.230666281,114.1669011,4.702227844,10.63659237,4.640466667,5.02056,69.25874342,13.1097908,10.63659237
