7.060349500496234665e-01,7.021176649961879956e-01,4.057866053311977583e-01,8.329206938793163317e-01,1.413911765963029588e-01,8.579732030404454424e-01,1.693836848749468715e-01,1.416293749360441612e-01,8.567634928740472944e-01,9.988005293639498072e-01,8.526390469202552724e-01,1.452157407333594108e-01
7.085033554280334434e-01,7.051857781330209685e-01,4.104874910086737660e-01,8.030925348844686340e-01,1.413355912652655144e-01,8.595280644050573571e-01,1.528209673808405000e-01,1.410119368346134383e-01,8.601014285948279658e-01,9.421558899361068828e-01,8.571583424248687688e-01,1.419714392938596914e-01
7.189554732463702136e-01,7.160242316790346173e-01,4.193518001982058374e-01,7.963379183033200137e-01,1.372822002513134354e-01,8.641146559471246658e-01,1.429956273792625798e-01,1.367587292510716868e-01,8.653200186186380538e-01,9.041973743299287491e-01,8.588819203849773487e-01,1.391596296587949699e-01
7.277661989089516670e-01,7.246425916768742814e-01,4.224424340058306471e-01,8.133282541473715321e-01,1.319833765015527849e-01,8.688149875118594823e-01,1.444163469545319822e-01,1.316841900791242415e-01,8.693057572005039590e-01,9.365111801156695837e-01,8.645286203015691839e-01,1.338421371026978779e-01
7.389730224776307477e-01,7.360307853865175609e-01,4.299369537627557580e-01,8.161408879731962829e-01,1.267688601610205690e-01,8.741383290482371837e-01,1.381310583901992350e-01,1.264288915634586563e-01,8.747557698266225090e-01,9.222215785020642098e-01,8.678274686566291862e-01,1.297544002949759800e-01
7.460548384363215879e-01,7.435491693485933862e-01,4.425525952163816834e-01,8.219925391094450307e-01,1.275228287956496342e-01,8.730546169980657467e-01,1.424973884386462886e-01,1.273064313400206760e-01,8.732802891493234299e-01,9.236910344895306046e-01,8.636769280499301260e-01,1.326741483966630830e-01
7.447722089477689655e-01,7.419376244058271119e-01,4.332985463357504341e-01,8.147601986056945966e-01,1.237669914701424734e-01,8.773533617398572293e-01,1.328554443822524411e-01,1.233471397945596904e-01,8.782227341226458428e-01,9.251168942057388378e-01,8.738689533331588377e-01,1.248406835790044633e-01
7.450480950463053142e-01,7.421345846028506443e-01,4.351276569343140999e-01,8.267627233840101342e-01,1.246479174130469825e-01,8.758279901921197652e-01,1.408108055376050549e-01,1.244695713310539076e-01,8.759313826338089859e-01,9.416136365489149451e-01,8.693441460471755811e-01,1.281384837630075713e-01
7.401614556684271706e-01,7.367684792364925794e-01,4.255051262578228854e-01,8.326085798227492729e-01,1.238096768445658413e-01,8.764130975025563597e-01,1.427803046909986717e-01,1.237261922951563009e-01,8.762149930745602999e-01,9.616697306053985095e-01,8.717344559113772151e-01,1.264403328911700708e-01
7.286360165919970600e-01,7.253022869833897213e-01,4.242268202938385691e-01,8.342856339408295518e-01,1.324946953967467422e-01,8.672276344158860173e-01,1.567633496057476705e-01,1.325987521284854309e-01,8.664389362703657227e-01,9.816966209639267360e-01,8.618098938394125330e-01,1.360378607920328387e-01
