,date,open,close,low,high,volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
0,2000-01-03,3.75,3.9978,3.6384,4.0089,0.0,,,,0.0,,,,,,,,,
1,2000-01-04,3.8661,3.6608,3.6295,3.9375,0.0,,,,0.0,,,,,,,,,
2,2000-01-05,3.7032,3.7143,3.6786,3.9398,0.0,,,,0.0,,,,,,,,,
3,2000-01-06,3.7924,3.3929,3.3929,3.817,0.0,,,,0.0,,,,,,,,,
4,2000-01-07,3.4465,3.5536,3.4152,3.6027,0.0,,,,0.0,,,,,,3.66388,,,
5,2000-01-10,3.6518,3.4911,3.3974,3.6518,0.0,,,,0.0,,,,,,3.56254,,,
6,2000-01-11,3.4241,3.3125,3.2880000000000003,3.5369,0.0,,,,0.0,,,,,,3.4928799999999995,,-17.141928060433234,
7,2000-01-12,3.3929,3.1138,3.1072,3.4063,0.0,,,,0.0,,,,,,3.3727799999999997,,-14.942089160839163,
8,2000-01-13,3.3706,3.4554,3.3047,3.5246,0.0,,,,0.0,,,,,,3.3852799999999994,,-6.970357806316133,
9,2000-01-14,3.5715,3.5871,3.5514,3.6474,0.0,,,,0.0,,,,,,3.3919799999999993,,5.723717174098851,
10,2000-01-18,3.6094,3.7121,3.5871,3.7858,0.0,,,,0.0,,,,,,3.4361799999999993,,4.46026564610536,
11,2000-01-19,3.7679,3.8058,3.6942,3.8572,0.0,,,,0.0,,,,,3.566433333333333,3.53484,,9.01435077769185,
12,2000-01-20,4.1407,4.0536,4.0536,4.3304,0.0,,,,0.0,,,,1.3957676722197339,3.5710833333333336,3.7227999999999994,,22.372830188679256,1.3957676722197339
13,2000-01-21,4.0804,3.9755,3.9375,4.0804,0.0,,,,0.29186428571428574,,,3.734468227670762,8.596481643356636,3.597308333333333,3.8268199999999992,70.98593852190972,27.67358211831203,8.596481643356636
14,2000-01-24,3.8706,3.7947,3.759,4.0268,0.0,,,,0.29014540816326534,,,3.7424991306479938,2.164607059203619,3.604008333333333,3.868339999999999,56.205035971223026,9.819413092550795,2.164607059203619
15,2000-01-25,3.7456,4.0089,3.6608,4.0346,0.0,,,,0.29612073615160356,,,3.7780192465615947,18.155560140292952,3.6553416666666663,3.9276999999999993,73.71648136036622,11.758802375177712,18.155560140292952
16,2000-01-26,3.9264,3.9353,3.9264,4.0714,0.0,,,,0.2853263978550604,,,3.7989900136867156,10.741220171094099,3.687149999999999,3.9535999999999993,67.69947678221057,6.012769052557847,10.741220171094099
17,2000-01-27,3.8929,3.9286,3.8304,4.0268,0.0,,,,0.2789745122939847,,,3.8162713451951538,12.531866746870616,3.7236083333333325,3.9285999999999994,67.15173315892739,3.22665405433811,12.531866746870616
18,2000-01-28,3.8661,3.6295,3.596,3.9554,0.0,,,,0.28471918998727147,,,3.7913684991691334,9.569811320754722,3.750024999999999,3.8593999999999995,42.699476782210596,-10.462305111505826,9.569811320754722
19,2000-01-31,3.6072,3.7054,3.384,3.7054,0.0,3.691435,4.190231079675852,3.1926389203241468,0.28733924784532355,,-38.95174251610475,3.7799060326132494,18.999293467788558,3.799324999999999,3.8415399999999997,48.904512753433615,-6.794113947931073,18.999293467788558
20,2000-02-01,3.7143,3.5804,3.5759,3.7433,0.0,3.670565,4.150928563460011,3.190201436539989,0.27877215871351474,,-23.031060335594372,3.7533052282648165,3.617526190889622,3.8097416666666657,3.75584,38.68541530412033,-5.647350251666802,3.617526190889622
21,2000-02-02,3.5938,3.5291,3.471,3.6407,0.0,3.66398,4.148293021092764,3.1796669789072363,0.27098129023397793,,-49.01814220568891,3.723411197829508,-1.6169050207688613,3.8049083333333322,3.6745999999999994,21.8777420298333,-11.968370375913583,-1.6169050207688613
22,2000-02-03,3.6072,3.6898,3.5893,3.7233,0.0,3.6627550000000006,4.146676495596135,3.1788335044038663,0.26549691236012235,,-5.310333134188461,3.7189297047855736,-0.6007381266668459,3.803049999999999,3.626839999999999,32.31191885038039,-6.238406220618501,-0.6007381266668459
23,2000-02-04,3.7099,3.8572,3.7076,3.9241,0.0,3.685970000000001,4.1603345184876295,3.2116054815123727,0.26326856147725647,,46.985964993191615,3.737365744147497,1.3505701823532532,3.8073333333333323,3.672379999999999,50.00000000000002,-1.8174413276994268,1.3505701823532532
24,2000-02-07,3.8549,4.0737,3.7835,4.0804,0.0,3.711975000000001,4.210852944491436,3.213097055508566,0.26567080708602386,,89.3852019779733,3.7822103115944974,0.4958555358199956,3.8090083333333324,3.7460399999999985,72.87616229923918,12.238600358176042,0.4958555358199956
25,2000-02-08,4.0714,4.1027,3.9755,4.1451,0.0,3.7425550000000007,4.258224186494597,3.226885813505404,0.2588086065798793,0.028208758456830907,108.78204433928438,3.8249422700485645,3.199597534901264,3.8196083333333326,3.850499999999998,75.940405748098,10.72218923732929,3.199597534901264
26,2000-02-09,4.0804,4.0224,4.0179,4.1786,0.0,3.7780500000000012,4.267486731355545,3.2886132686444576,0.2518008489670308,0.0410065464543381,99.5512875475148,3.8512699673754227,6.000474345798087,3.8385833333333323,3.9491599999999982,80.34231059652656,12.344989386660712,6.000474345798087
27,2000-02-10,4.0224,4.0536,3.913,4.067,0.0,3.8250400000000013,4.222099216742288,3.4279807832577145,0.24481507404081435,0.053054881250626185,72.67715768449193,3.8782473050587,1.1150190825413613,3.842308333333333,4.021919999999999,84.26881449786056,14.862146156243805,1.1150190825413613
28,2000-02-11,4.0581,3.884,3.8706,4.0759,0.0,3.8464700000000014,4.20589669962038,3.4870433003796224,0.24199256875218472,0.048360501034035774,40.60513839388033,3.8790143310508736,-1.303585495387897,3.838033333333333,4.027279999999999,62.92474200855773,5.263157894736841,-1.303585495387897
29,2000-02-14,3.9018,4.1362,3.884,4.1384,0.0,3.873925000000001,4.233795225914841,3.514054774085161,0.2428788138413144,0.06424996951352702,80.64975016448214,3.913305753577424,5.284325204907595,3.855333333333333,4.039779999999999,94.66398187767422,7.233226174427032,5.284325204907595
30,2000-02-15,4.1284,4.25,4.1161,4.2824,0.0,3.900820000000001,4.287682030186471,3.5139579698135304,0.23740889856693478,0.08504485257280292,138.69870715107493,3.958198319767101,17.096018735362993,3.9070416666666663,4.069239999999999,96.39358860195904,4.327761003510331,17.096018735362993
